,Title,Release Year,Runtime,Gross Worldwide Boxoffice
289,Dog Day Afternoon,1975,125,50002721
290,A Streetcar Named Desire,1951,122,53162
291,A Fistful of Dollars,1967,99,14516248
292,The Truman Show,1998,103,264118712
293,X-Men: Days of Future Past,2014,132,746045700
294,Prisoners,2013,153,122127446
295,The King's Speech,2010,118,472088310
296,Young Frankenstein,1974,106,86274794
297,Before Sunset,2004,80,16505440
298,All Quiet on the Western Front,1930,152,Data not available
299,Dogville,2004,178,16690617
300,The Wild Bunch,1969,135,640561
301,Sling Blade,1997,135,24444121
302,The Diving Bell and the Butterfly,2008,112,19780116
303,His Girl Friday,1940,92,Data not available
304,The Perks of Being a Wallflower,2012,103,33384127
305,Harold and Maude,1971,91,3978
306,Beauty and the Beast,1991,84,451291298
307,Pink Floyd: The Wall,1982,95,22274148
308,The Manchurian Candidate,1962,126,2757256
309,Persepolis,2008,96,22783978
310,The Nightmare Before Christmas,1993,76,107798585
311,Rope,1948,80,10883
312,The Graduate,1967,106,105017024
313,The Raid 2,2014,150,6566916
314,Duck Soup,1933,69,106318
315,Blood Diamond,2006,143,171720398
316,This Is Spinal Tap,1984,82,4738481
317,Bringing Up Baby,1938,102,11665
318,Big Fish,2004,125,123235422
319,Patton,1970,172,61749765
320,Crimes and Misdemeanors,1989,104,18254702
321,East of Eden,1955,118,28344
322,Magnolia,2000,188,48453541
323,JFK,1991,189,205405498
324,The Exorcist,1973,122,430872776
325,Manhattan,1979,96,40194067
326,The Straight Story,1999,112,6449471
327,Star Trek,2009,127,385681768
328,Slumdog Millionaire,2008,120,378411362
329,"Aguirre, the Wrath of God",1977,95,37732
330,The Return,2003,110,8482993
331,Jab We Met,2007,138,10065630
332,Catch Me If You Can,2002,141,352114312
333,Being There,1980,130,30179435
334,Rain Man,1988,133,354825435
335,Brazil,1985,132,9949953
336,Boyhood,2014,165,48137666
337,Dead Poets Society,1989,128,235860116
338,Waltz with Bashir,2008,90,11179372
339,Talk to Her,2003,112,64826117
340,Charade,1963,113,175119
341,Short Term 12,2013,96,1645164
342,Central Station,1998,110,5971073
343,Whisper of the Heart,1996,111,4420615
344,Dawn of the Dead,(United,127,159822
345,Nosferatu: A Symphony of Horror,1922,94,45595
346,The Adventures of Robin Hood,1938,102,291
347,Ratatouille,2007,111,623729107
348,Dances with Wolves,1990,181,424208848
349,Cinderella Man,2005,144,108539911
350,Her,2014,126,48269269
351,In the Heat of the Night,1967,110,27669
352,Doctor Zhivago,1965,197,111926200
353,Ghost in the Shell,1996,83,929593
354,All the President's Men,1976,138,70601199
355,Battleship Potemkin,1925,66,61389
356,Dancer in the Dark,2000,140,40061153
357,The Searchers,1956,119,1071
358,Black Swan,2010,108,329398046
359,Secrets & Lies,1997,136,13417292
360,Aladdin,1992,90,504050219
361,Shadow of a Doubt,1943,108,875
362,No Man's Land,2001,98,4858869
363,Dallas Buyers Club,2013,117,55198285
364,Kill Bill: Vol. 2,2004,137,154118514
365,The Sound of Music,1965,172,159484051
366,Days of Heaven,1978,94,3490933
367,Life of Pi,2012,127,609016565
368,District 9,2009,112,210888950
369,Head-On,2004,121,11065801
370,Frankenstein,1931,70,1626
371,Shaun of the Dead,2004,99,31508087
372,Fiddler on the Roof,1971,181,10407120
373,Three Colors: Blue,1993,94,1518216
374,C.R.A.Z.Y.,2022,129,3710169
375,The Lady Vanishes,1938,96,41493
376,Let the Right One In,2008,114,11227336
377,Rosemary's Baby,1968,137,3288
378,Scent of a Woman,1993,156,134095253
379,Hannah and Her Sisters,1986,107,40084041
380,Mystic River,2003,138,156595191
381,The Iron Giant,1999,86,23337631
382,The Artist,2012,100,133471171
383,Planet of the Apes,1968,112,32600372
384,Amarcord,1974,123,197754
385,The Discreet Charm of the Bourgeoisie,1972,102,103230
386,Night of the Living Dead,1968,96,237994
387,Serenity,2005,119,40445129
388,The Incredibles,2004,115,631688498
389,Mulholland Drive,2001,147,20289986
390,Casino Royale,2006,144,616577552
391,True Romance,1993,119,13088850
392,Breathless,1961,90,594039
393,King Kong,1933,100,651
394,Moon,2009,97,9760107
395,In Bruges,2008,107,38938097
396,Special 26,2013,144,647074
397,The Man from Earth,2007,87,Data not available
398,Edward Scissorhands,1990,105,86024005
399,Freaks,1932,64,4072
400,The Untouchables,1987,119,76272360
401,The Hobbit: An Unexpected Journey,2012,169,1017107150
402,Spartacus,1960,197,1846975
403,The Hobbit: The Desolation of Smaug,2013,161,959079095
404,Letters from Iwo Jima,2007,141,68673228
405,My Name Is Khan,2010,165,42345360
406,Before Midnight,2013,109,20710514
407,The Blues Brothers,1980,133,115229890
408,The Pursuit of Happyness,2006,117,307127625
409,Me and Earl and the Dying Girl,2015,105,9074749
410,Almost Famous,2000,122,47387566
